exponential095_weightdecay0_SSIM1_LPIPS_Focal_stridedE_valsplit1215_1038_batch20_SSIM

epoch	train loss	val loss	train lpips	val lpips	train psnr	val psnr	train ssim	val ssim	time
34 		 0.4421 	 0.4428 	 0.4427 	 0.4392 	 0.1810 	 0.2571 	 15.9030 	 15.6060 	 0.5579 	 0.5572 	 1357m 24s
35 		 0.4406 	 0.4410 	 0.4413 	 0.4371 	 0.1798 	 0.2547 	 15.9425 	 15.7194 	 0.5594 	 0.5590 	 1397m 12s
36 		 0.4395 	 0.4422 	 0.4400 	 0.4374 	 0.1776 	 0.2568 	 16.0166 	 15.4770 	 0.5605 	 0.5578 	 1437m 7s
37 		 0.4391 	 0.4401 	 0.4393 	 0.4357 	 0.1759 	 0.2524 	 15.9797 	 15.6174 	 0.5609 	 0.5599 	 1476m 55s
38 		 0.4373 	 0.4404 	 0.4377 	 0.4359 	 0.1724 	 0.2525 	 16.0696 	 15.6837 	 0.5627 	 0.5596 	 1516m 40s
39 		 0.4367 	 0.4396 	 0.4371 	 0.4341 	 0.1709 	 0.2538 	 16.1114 	 15.8338 	 0.5633 	 0.5604 	 1556m 28s
40 		 0.4360 	 0.4384 	 0.4359 	 0.4332 	 0.1694 	 0.2539 	 16.1591 	 15.8007 	 0.5640 	 0.5616 	 1596m 14s
41 		 0.4347 	 0.4386 	 0.4349 	 0.4325 	 0.1680 	 0.2541 	 16.2015 	 15.7234 	 0.5653 	 0.5614 	 1635m 51s
42 		 0.4343 	 0.4378 	 0.4341 	 0.4331 	 0.1668 	 0.2548 	 16.2207 	 15.9438 	 0.5657 	 0.5622 	 1675m 31s
43 		 0.4335 	 0.4382 	 0.4336 	 0.4327 	 0.1656 	 0.2551 	 16.2798 	 15.9170 	 0.5665 	 0.5618 	 1715m 15s
44 		 0.4327 	 0.4363 	 0.4328 	 0.4315 	 0.1642 	 0.2562 	 16.3074 	 15.9165 	 0.5673 	 0.5637 	 1754m 40s
45 		 0.4317 	 0.4382 	 0.4318 	 0.4311 	 0.1632 	 0.2562 	 16.3392 	 15.8213 	 0.5683 	 0.5618 	 1794m 44s
46 		 0.4318 	 0.4358 	 0.4313 	 0.4312 	 0.1619 	 0.2534 	 16.3229 	 15.9072 	 0.5682 	 0.5642 	 1834m 31s
47 		 0.4306 	 0.4379 	 0.4306 	 0.4334 	 0.1605 	 0.2643 	 16.3688 	 15.9356 	 0.5694 	 0.5621 	 1874m 3s
48 		 0.4305 	 0.4364 	 0.4306 	 0.4298 	 0.1619 	 0.2543 	 16.4079 	 15.9604 	 0.5695 	 0.5636 	 1913m 32s
49 		 0.4295 	 0.4357 	 0.4292 	 0.4304 	 0.1581 	 0.2545 	 16.4454 	 15.9967 	 0.5705 	 0.5643 	 1953m 4s
